rule_id,year,source_id,actual,limit,unit,operator,passed,severity,excess,plan_id,scenario_id,input_fingerprint
CAPACITY_EXCEEDED,2036,A,168.19810326659933,190.0,t/year,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ORDER_EXCEEDS_CONTRACT,2036,A,168.19810326659933,168.19810326659933,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ARRIVAL_CAPACITY_EXCEEDED,2036,A,168.19810326659837,190.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
CAPACITY_EXCEEDED,2036,B,0.0,110.0,t/year,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ORDER_EXCEEDS_CONTRACT,2036,B,0.0,0.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ARRIVAL_CAPACITY_EXCEEDED,2036,B,0.0,110.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
CAPACITY_EXCEEDED,2036,C,0.0,130.0,t/year,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ORDER_EXCEEDS_CONTRACT,2036,C,0.0,0.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ARRIVAL_CAPACITY_EXCEEDED,2036,C,0.0,0.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
CAPACITY_EXCEEDED,2036,D,0.0,120.0,t/year,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ORDER_EXCEEDS_CONTRACT,2036,D,0.0,0.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ARRIVAL_CAPACITY_EXCEEDED,2036,D,0.0,0.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
CAPACITY_EXCEEDED,2036,E,0.0,80.0,t/year,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ORDER_EXCEEDS_CONTRACT,2036,E,0.0,0.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ARRIVAL_CAPACITY_EXCEEDED,2036,E,0.0,80.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
BASE_TOTAL_SERVICE,2037,,1.000000000000008,0.97,share,>=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
BASE_CRITICAL_SERVICE,2037,,1.0000000000000013,0.99,share,>=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
RESERVE_45D,2037,,43.44000000000196,23.424657534246574,t,>=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
NONNEGATIVE_INVENTORY,2037,,1.9539925233402755e-14,0.0,t,>=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
STORAGE_CAPACITY,2037,,0.0,0.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
MATERIAL_BALANCE,2037,,4.614086890342151e-13,1e-06,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
