parameter,value,range_basis,baseline_input_fingerprint,experiment_input_fingerprint,plan_id,scenario_id,feasible,total_cost_mln,shortage_t,min_total_service,min_critical_service,violations,critical_shortage_t,min_inventory_t,max_inventory_t,rejected_t,flexible_rights_2038_t,service_compliant,cheapest_compliant_plan
core_price,0.8,"+25% как контроль масштаба из mandatory; остальные границы TEAM_ASSUMPTION, без вероятности",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,1b0a1a84021e454ccfd759f2722c3f84310e4eca68c2be37df78bdfb961768a1,lunar,BASE,True,8491.93997815709,0.0,0.999999999999997,0.9999999999999941,0,1.2363443602225743e-12,3.552713678800501e-15,97.43999999999991,0.0,0.0,True,lunar
core_price,0.8,"+25% как контроль масштаба из mandatory; остальные границы TEAM_ASSUMPTION, без вероятности",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,1b0a1a84021e454ccfd759f2722c3f84310e4eca68c2be37df78bdfb961768a1,diversified,BASE,True,10486.939978157094,0.0,0.999999999999997,0.9999999999999941,0,1.2363443602225743e-12,3.552713678800501e-15,97.44000000000001,0.0,320.00000000000006,True,lunar
core_price,1.0,"+25% как контроль масштаба из mandatory; остальные границы TEAM_ASSUMPTION, без вероятности",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,7ba7b9167c73bcfd13b63cad9b8a04ac9145586cb08d880eabd93376e1784d13,earth,BASE,True,10265.13564568828,3.836930773104541e-13,0.9999999999999968,0.9999999999999941,0,1.2363443602225743e-12,0.0,77.67999999999952,0.0,0.0,True,lunar
core_price,1.0,"+25% как контроль масштаба из mandatory; остальные границы TEAM_ASSUMPTION, без вероятности",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,7ba7b9167c73bcfd13b63cad9b8a04ac9145586cb08d880eabd93376e1784d13,lunar,BASE,True,9795.159803931261,0.0,0.999999999999997,0.9999999999999941,0,1.2363443602225743e-12,3.552713678800501e-15,97.43999999999991,0.0,0.0,True,lunar
core_price,1.0,"+25% как контроль масштаба из mandatory; остальные границы TEAM_ASSUMPTION, без вероятности",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,7ba7b9167c73bcfd13b63cad9b8a04ac9145586cb08d880eabd93376e1784d13,diversified,BASE,True,11790.159803931263,0.0,0.999999999999997,0.9999999999999941,0,1.2363443602225743e-12,3.552713678800501e-15,97.44000000000001,0.0,320.00000000000006,True,lunar
core_price,1.25,"+25% как контроль масштаба из mandatory; остальные границы TEAM_ASSUMPTION, без вероятности",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,a3d8015c87a03cd6bf92b95bf38c7a48c813b4ed1ffb8d2cb33bb21b77743085,earth,BASE,True,11928.9414191947,3.836930773104541e-13,0.9999999999999968,0.9999999999999941,0,1.2363443602225743e-12,0.0,77.67999999999952,0.0,0.0,True,lunar
core_price,1.25,"+25% как контроль масштаба из mandatory; остальные границы TEAM_ASSUMPTION, без вероятности",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,a3d8015c87a03cd6bf92b95bf38c7a48c813b4ed1ffb8d2cb33bb21b77743085,lunar,BASE,True,11424.184586148975,0.0,0.999999999999997,0.9999999999999941,0,1.2363443602225743e-12,3.552713678800501e-15,97.43999999999991,0.0,0.0,True,lunar
core_price,1.25,"+25% как контроль масштаба из mandatory; остальные границы TEAM_ASSUMPTION, без вероятности",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,a3d8015c87a03cd6bf92b95bf38c7a48c813b4ed1ffb8d2cb33bb21b77743085,diversified,BASE,True,13419.18458614898,0.0,0.999999999999997,0.9999999999999941,0,1.2363443602225743e-12,3.552713678800501e-15,97.44000000000001,0.0,320.00000000000006,True,lunar
core_price,1.5,"+25% как контроль масштаба из mandatory; остальные границы TEAM_ASSUMPTION, без вероятности",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb0e308d3296f7f20b3baaacc9e130f60b741f4b3b4aa3fbbb64f2493c2b0c5,earth,BASE,True,13592.74719270112,3.836930773104541e-13,0.9999999999999968,0.9999999999999941,0,1.2363443602225743e-12,0.0,77.67999999999952,0.0,0.0,True,lunar
core_price,1.5,"+25% как контроль масштаба из mandatory; остальные границы TEAM_ASSUMPTION, без вероятности",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb0e308d3296f7f20b3baaacc9e130f60b741f4b3b4aa3fbbb64f2493c2b0c5,lunar,BASE,True,13053.209368366688,0.0,0.999999999999997,0.9999999999999941,0,1.2363443602225743e-12,3.552713678800501e-15,97.43999999999991,0.0,0.0,True,lunar
